budget,runtime,budget_per_minute,num_companies,num_countries,tagline_length,overview_length,num_genres,director_film_count,director_collab_count,director_hist_roi,actor_hist_roi,is_major_studio,is_english,is_us_production,has_homepage,is_summer,is_holiday,is_franchise,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_Thriller,genre_War,genre_Western,kw_based_on_novel,kw_woman_director,kw_independent_film,kw_3d,kw_sequel,kw_biography,kw_musical,hit
878000,102.0,8607.843137254902,1,1,8,17,2,1,0,2.28,0.0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
858000,77.0,11142.857142857143,1,1,4,20,3,2,0,36.54385964912281,0.0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2627000,120.0,21891.666666666668,1,1,11,114,3,2,0,42.07643677545667,4.586,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2361000,101.0,23376.237623762376,1,1,5,32,2,0,0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1500000,111.0,13513.513513513513,1,1,8,73,3,1,1,4.658385093167702,11.916287015945333,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1250000,101.0,12376.237623762376,1,1,14,52,1,0,0,0.0,0.0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2160000,119.0,18151.26050420168,1,1,0,63,1,0,0,0.0,4.666666666666667,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3180000,130.0,24461.53846153846,2,1,8,94,3,3,0,8.255160522683214,4.989495791421845,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2100000,172.0,12209.302325581395,1,1,10,101,3,0,0,0.0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6000000,144.0,41666.666666666664,2,1,11,26,1,1,0,71.99768197727272,4.447222222222223,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2000000,118.0,16949.15254237288,1,1,0,10,2,0,0,0.0,4.098148148148149,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3700000,102.0,36274.509803921566,1,1,5,35,2,0,0,0.0,12.15519157364062,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3000000,133.0,22556.39097744361,3,1,15,16,1,0,0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1600000,103.0,15533.980582524271,1,1,10,115,1,1,0,4.8,4.203,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1000000,100.0,10000.0,1,1,9,37,4,0,0,0.0,3.1895,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3768785,107.0,35222.28971962617,1,1,0,70,5,1,0,2.919102075391783,0.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1800000,125.0,14400.0,2,1,9,24,1,1,0,3.9,71.99768197727272,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8250000,171.0,48245.61403508772,1,1,23,68,3,0,0,0.0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2300000,107.0,21495.327102803738,1,1,2,18,2,2,1,2.520901048375726,2.122700021359669,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
730000,85.0,8588.235294117647,2,1,11,40,1,0,0,0.0,6.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4000000,152.0,26315.78947368421,1,1,0,44,3,0,0,0.0,2.122700021359669,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2540800,103.0,24667.961165048542,1,1,4,74,3,0,0,0.0,0.798918918918919,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1650000,118.0,13983.050847457627,1,1,12,27,3,1,1,10.95890410958904,3.320181818181818,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
210000,80.0,2625.0,1,1,3,59,3,0,0,0.0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4100000,135.0,30370.37037037037,1,1,12,75,1,0,0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250000,92.0,13586.95652173913,1,1,10,74,3,0,0,0.0,3.4,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5000000,127.0,39370.07874015748,1,1,7,20,3,0,0,0.0,0.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
910000,108.0,8425.925925925925,2,1,10,73,2,2,0,4.1722222222222225,4.444444444444445,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000000,139.0,35971.22302158274,1,1,13,64,2,2,0,7.098143507972666,8.78048780487805,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000,178.0,11235.955056179775,1,1,13,54,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200000,99.0,12121.212121212122,2,1,5,36,3,2,0,4.662525879917185,0.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1000000,89.0,11235.955056179775,1,1,6,9,5,0,0,0.0,0.0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4000000,105.0,38095.23809523809,1,1,15,32,1,0,0,0.0,18.484848484848484,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4500000,116.0,38793.10344827586,2,1,12,68,2,0,0,0.0,3.8424873737373737,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3000000,161.0,18633.540372670806,2,2,8,59,3,0,0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
350000,96.0,3645.8333333333335,2,1,10,58,1,0,0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000000,108.0,27777.777777777777,2,1,14,41,2,0,0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5000000,139.0,35971.22302158274,1,1,6,161,4,2,0,37.69884098863636,4.129192546583851,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3500000,149.0,23489.93288590604,1,1,12,62,1,2,0,14.721876297218763,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883848,122.0,23638.09836065574,2,1,6,72,2,1,0,8.8,5.2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3000000,146.0,20547.945205479453,1,1,26,11,1,1,0,5.8567746666666665,8.466334072431634,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000000,125.0,24000.0,2,1,13,61,3,2,0,8.734486422307972,7.251153088974638,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
806948,109.0,7403.192660550459,3,1,14,53,3,3,0,5.052795031055901,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3000000,178.0,16853.932584269663,2,2,7,64,2,0,0,0.0,5.915458907691303,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000000,152.0,39473.68421052631,3,1,14,57,3,0,0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4000000,124.0,32258.064516129034,2,1,10,64,3,1,0,2.311111111111111,16.207396424180356,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2900000,136.0,21323.529411764706,1,1,8,151,2,4,0,6.949556241069015,0.0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000,134.0,14925.373134328358,2,1,17,31,1,0,0,0.0,5.8567746666666665,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
950000,110.0,8636.363636363636,2,2,10,52,3,0,0,0.0,0.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2000000,129.0,15503.875968992248,1,1,0,128,2,0,0,0.0,3.7011111111111115,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15000000,178.0,84269.66292134831,1,1,0,46,4,1,0,11.1,11.1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2000000,153.0,13071.8954248366,3,2,9,43,2,0,0,0.0,5.64,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3200000,123.0,26016.260162601626,2,1,22,25,1,2,0,4.0875,16.34420496551705,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10000000,178.0,56179.77528089887,2,1,13,65,4,0,0,0.0,0.0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1000000,128.0,7812.5,1,1,15,28,4,0,0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
